note,startTime,endTime,timbre
F5,1000,1750,piano
C5,1750,2000,piano
F5,2000,2750,piano
C5,2750,3000,piano
F5,3000,3250,piano
C5,3250,3500,piano
F5,3500,3750,piano
A5,3750,4000,piano
C6,4000,4500,piano

A#5,5000,5750,piano
G5,5750,6000,piano
A#5,6000,6750,piano
G5,6750,7000,piano
A#5,7000,7250,piano
G5,7250,7500,piano
E5,7500,7750,piano
G5,7750,8000,piano
C5,8000,8500,piano

F5,9000,9300,piano
F5,9500,10000,piano
A5,10250,10500,piano
G5,10500,10750,piano
F5,10750,10850,piano
F5,11000,11250,piano
E5,11250,11300,piano
E5,11500,12000,piano
G5,12250,12500,piano
A#5,12500,12750,piano
E5,12750,13000,piano
G5,13000,13250,piano
F5,13250,13350,piano
F5,13500,14000,piano


A5,14250,14500,piano
G5,14500,14750,piano
F5,14750,14850,piano
F5,15000,15250,piano
E5,15250,15300,piano
E5,15500,16000,piano

G5,16250,16500,piano
A#5,16500,16750,piano
E5,16750,17000,piano
F5,17000,17100,piano
F5,17250,17350,piano
F5,17500,17625,piano
E5,17625,17750,piano
D5,17750,17875,piano
E5,17875,18000,piano
F5,18000,18100,piano
F5,18250,18500,piano

A5,18500,18625,piano
G5,18625,18750,piano
F5,18750,18875,piano
G5,18875,19000,piano
A5,19000,19100,piano
A5,19250,19500,piano

C6,19500,19625,piano
A#5,19625,19750,piano
A5,19750,19875,piano
A#5,19875,20000,piano
C6,20000,20500,piano

C5,21000,21500,piano
D5,22000,22500,piano
C5,23000,23250,piano
A#4,23250,23350,piano
A#4,23500,23850,piano

A#4,24000,24250,piano
A4,24250,24350,piano
A4,24500,24850,piano

A4,25000,25250,piano
G4,25250,25350,piano
G4,25500,26000,piano

F4,26000,26250,piano
E4,26250,26500,piano
D4,26500,26750,piano
E4,26750,27000,piano
F4,27000,27500,piano
G4,27500,28000,piano
A4,28000,28500,piano


C5,29000,29500,piano
D5,30000,30500,piano
C5,31000,31250,piano
A#4,31250,31350,piano
A#4,31500,31600,piano
A#4,31750,31850,piano

A#4,32000,32250,piano
A4,32250,32350,piano
A4,32500,32600,piano
A4,32750,32850,piano

A4,33000,33250,piano
G4,33250,33350,piano
G4,33500,34000,piano

F4,34000,34250,piano
E4,34250,34500,piano
D4,34500,34750,piano
E4,34750,35000,piano
F4,35000,35500,piano




